GEOID,1984,GEOID,1985,GEOID,1986,GEOID,1987,GEOID,1988,GEOID,1989,GEOID,1990,GEOID,1991,GEOID,1992,GEOID,1993,GEOID,1994,GEOID,1995,GEOID,1996,GEOID,1997,GEOID,1998,GEOID,1999,GEOID,2000,GEOID,2001,GEOID,2002,GEOID,2003,GEOID,2004,GEOID,2005,GEOID,2006,GEOID,2007,GEOID,2008,GEOID,2009,GEOID,2010,GEOID,2011,GEOID,2012,GEOID,2013
04000US17,23752,04000US17,24870,04000US17,26511,04000US17,27084,04000US17,29524,04000US17,31300,04000US17,32542,04000US17,31884,04000US17,31551,04000US17,32857,04000US17,35081,04000US17,38071,04000US17,39554,04000US17,41283,04000US17,43178,04000US17,46330,04000US17,46064,04000US17,46171,04000US17,42710,04000US17,45153,04000US17,46077,04000US17,48398,04000US17,48671,04000US17,52506,04000US17,53254,04000US17,52870,04000US17,50728,04000US17,50637,04000US17,51738,04000US17,57196
04000US18,22770,04000US18,22675,04000US18,22728,04000US18,22519,04000US18,26293,04000US18,25898,04000US18,26928,04000US18,27089,04000US18,28530,04000US18,29475,04000US18,27858,04000US18,33385,04000US18,35147,04000US18,38889,04000US18,39731,04000US18,40838,04000US18,40865,04000US18,40379,04000US18,41047,04000US18,42425,04000US18,42329,04000US18,42437,04000US18,45407,04000US18,47453,04000US18,46520,04000US18,44305,04000US18,46139,04000US18,44445,04000US18,46158,04000US18,50553
04000US19,19863,04000US19,20927,04000US19,22459,04000US19,22190,04000US19,24305,04000US19,26265,04000US19,27288,04000US19,28553,04000US19,28743,04000US19,28663,04000US19,33079,04000US19,35519,04000US19,33209,04000US19,33783,04000US19,37019,04000US19,41098,04000US19,40991,04000US19,40976,04000US19,41049,04000US19,41384,04000US19,43391,04000US19,46500,04000US19,48126,04000US19,48908,04000US19,50142,04000US19,50721,04000US19,49016,04000US19,50219,04000US19,53442,04000US19,54855
04000US20,24629,04000US20,22788,04000US20,23926,04000US20,25583,04000US20,25566,04000US20,26862,04000US20,29917,04000US20,29295,04000US20,30346,04000US20,29770,04000US20,28322,04000US20,30341,04000US20,32585,04000US20,36471,04000US20,36711,04000US20,37348,04000US20,41059,04000US20,41415,04000US20,42619,04000US20,44232,04000US20,41066,04000US20,42027,04000US20,45552,04000US20,48497,04000US20,47877,04000US20,44717,04000US20,46054,04000US20,46147,04000US20,50003,04000US20,51485
04000US21,17680,04000US21,17361,04000US21,19874,04000US21,20673,04000US21,19907,04000US21,23283,04000US21,24780,04000US21,23764,04000US21,23485,04000US21,24376,04000US21,26595,04000US21,29810,04000US21,32413,04000US21,33452,04000US21,36252,04000US21,33738,04000US21,36265,04000US21,38437,04000US21,36762,04000US21,36936,04000US21,35610,04000US21,36699,04000US21,39485,04000US21,39452,04000US21,41148,04000US21,42664,04000US21,41104,04000US21,39856,04000US21,41086,04000US21,42158
04000US22,18949,04000US22,21179,04000US22,20890,04000US22,21349,04000US22,20497,04000US22,22861,04000US22,22405,04000US22,25299,04000US22,25439,04000US22,26312,04000US22,25676,04000US22,27949,04000US22,30262,04000US22,33260,04000US22,31735,04000US22,32654,04000US22,30718,04000US22,33322,04000US22,34008,04000US22,33507,04000US22,36429,04000US22,37236,04000US22,36488,04000US22,41313,04000US22,39563,04000US22,45433,04000US22,39300,04000US22,40658,04000US22,39085,04000US22,39622
04000US23,20648,04000US23,20519,04000US23,23424,04000US23,23600,04000US23,26402,04000US23,28221,04000US23,27464,04000US23,27868,04000US23,29617,04000US23,27438,04000US23,30316,04000US23,33858,04000US23,34696,04000US23,32772,04000US23,35640,04000US23,38862,04000US23,37266,04000US23,36612,04000US23,36853,04000US23,37113,04000US23,41329,04000US23,43923,04000US23,45642,04000US23,47894,04000US23,47228,04000US23,47502,04000US23,47931,04000US23,49693,04000US23,49158,04000US23,50121
04000US24,29708,04000US24,30136,04000US24,30604,04000US24,34970,04000US24,36552,04000US24,36016,04000US24,38857,04000US24,36952,04000US24,37203,04000US24,39939,04000US24,39198,04000US24,41041,04000US24,43993,04000US24,46685,04000US24,50016,04000US24,52205,04000US24,54535,04000US24,53530,04000US24,56407,04000US24,52314,04000US24,57103,04000US24,60512,04000US24,63668,04000US24,65630,04000US24,63711,04000US24,64186,04000US24,64201,04000US24,68876,04000US24,71836,04000US24,65262
04000US25,26959,04000US25,28207,04000US25,30339,04000US25,32241,04000US25,33213,04000US25,36086,04000US25,36247,04000US25,35714,04000US25,36359,04000US25,37064,04000US25,40500,04000US25,38574,04000US25,39494,04000US25,42023,04000US25,42345,04000US25,44005,04000US25,46753,04000US25,52253,04000US25,49855,04000US25,50955,04000US25,52019,04000US25,56017,04000US25,55330,04000US25,58463,04000US25,60320,04000US25,59373,04000US25,60934,04000US25,63313,04000US25,63656,04000US25,62963
04000US26,22965,04000US26,24242,04000US26,26605,04000US26,27702,04000US26,29472,04000US26,30775,04000US26,29937,04000US26,32117,04000US26,32267,04000US26,32662,04000US26,35284,04000US26,36426,04000US26,39225,04000US26,38742,04000US26,41821,04000US26,46089,04000US26,45512,04000US26,45047,04000US26,42715,04000US26,45022,04000US26,42256,04000US26,45933,04000US26,48647,04000US26,49370,04000US26,49788,04000US26,45994,04000US26,46276,04000US26,48879,04000US26,50015,04000US26,48801
