2010,1,1,13,-50,-110,-9999,110,46,4,-9999,-9999,010015-99999
2010,1,1,14,-60,-120,-9999,100,26,2,-9999,-9999,010015-99999
2010,1,1,15,-60,-130,-9999,80,41,-9999,-9999,-9999,010015-99999
2010,1,1,16,-60,-130,-9999,90,26,-9999,-9999,-9999,010015-99999
2010,1,1,17,-80,-130,-9999,90,26,-9999,-9999,-9999,010015-99999
2010,1,1,18,-60,-130,-9999,120,41,-9999,-9999,-9999,010015-99999
2010,1,1,19,-90,-140,-9999,50,41,-9999,-9999,-9999,010015-99999
2010,1,1,20,-100,-130,-9999,-9999,10,-9999,-9999,-9999,010015-99999
2010,1,1,21,-100,-140,-9999,-9999,10,-9999,-9999,-9999,010015-99999
2010,1,2,7,-110,-160,-9999,-9999,15,-9999,-9999,-9999,010015-99999
2010,1,2,8,-110,-160,-9999,-9999,15,-9999,-9999,-9999,010015-99999
2010,1,2,9,-120,-160,-9999,320,15,-9999,-9999,-9999,010015-99999
2010,1,2,10,-120,-160,-9999,330,15,-9999,-9999,-9999,010015-99999
2010,1,2,11,-110,-150,-9999,330,10,-9999,-9999,-9999,010015-99999
2010,1,2,12,-100,-100,-9999,330,10,-9999,-9999,-9999,010015-99999
2010,1,2,13,-90,-150,-9999,30,15,-9999,-9999,-9999,010015-99999
2010,1,2,14,-90,-150,-9999,-9999,5,-9999,-9999,-9999,010015-99999
2010,1,2,15,-120,-150,-9999,350,21,-9999,-9999,-9999,010015-99999
2010,1,3,11,-80,-90,-9999,260,10,7,-9999,-9999,010015-99999
2010,1,3,12,-80,-80,-9999,-9999,10,7,-9999,-9999,010015-99999
2010,1,3,13,-80,-80,-9999,280,10,7,-9999,-9999,010015-99999
2010,1,3,14,-70,-80,-9999,-9999,10,7,-9999,-9999,010015-99999
2010,1,3,15,-70,-80,-9999,-9999,10,7,-9999,-9999,010015-99999
2010,1,3,16,-70,-80,-9999,-9999,10,7,-9999,-9999,010015-99999
2010,1,3,18,-70,-80,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,3,19,-70,-70,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,3,20,-70,-70,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,3,21,-70,-70,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,3,22,-70,-70,-9999,-9999,10,7,-9999,-9999,010015-99999
2010,1,4,5,-40,-50,-9999,70,21,7,-9999,-9999,010015-99999
2010,1,4,6,-40,-40,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,4,7,-40,-40,-9999,0,0,7,-9999,-9999,010015-99999
2010,1,4,8,-40,-40,-9999,-9999,5,4,-9999,-9999,010015-99999
2010,1,4,9,-50,-50,-9999,-9999,5,7,-9999,-9999,010015-99999
2010,1,4,10,-50,-60,-9999,290,10,2,-9999,-9999,010015-99999
